model,profit,ROME,mail_to_rate,response_rate
mailto_wave2_pred_nn10,1175343.0176106668,3.691995856618541,0.29789333333333334,0.10947990332109928
mailto_wave2_pred_nn3,1163856.3675786667,3.522074450063756,0.30921333333333334,0.10551507050148765
mailto_wave2_pred_nn3a,1158150.7003733332,3.609236234458259,0.3002666666666667,0.10754884547069271
mailto_wave2_pred_nn2,1144211.2037546667,3.5874604309200455,0.29845333333333335,0.10704074338813438
mailto_wave2_pred_logit_max,1108399.6435893334,2.750359883019078,0.37710666666666665,0.08750839727044514
mailto_wave2_pred_logit_int,1071720.9359999998,2.639097744360902,0.38,0.08491228070175438
mailto_wave2_pred_nn0,1050180.6682986668,2.677561993336171,0.36701333333333336,0.08580977984451064
mailto_wave2_pred_logit,1046956.3454826665,2.668177998194702,0.36717333333333335,0.08559081995787639
mailto_wave2_pred_nn1,1043770.698256,2.709751573473691,0.36044,0.08656087004771945
